ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes,Splitstrasse,ADDRESS,location,point,latitude,longitude,altitude
396,Reinckendorf,0,0,13405,1,0,Berlin,0,0,Scharnweberstr. 7/Kapweg,0,0,Mitte,0,0,10.6.2008 00:00:00,0,,6x Sperlinge verteilt unter der Dachrinne,,Scharnweberstr. 7,"Scharnweberstr. 7, 13405, Berlin, Deutschland","7, Scharnweberstraße, Weißensee, Pankow, Berlin, 13086, Deutschland","(52.5525048, 13.4410922, 0.0)",52.5525048,13.4410922,0.0
1283,Wilmersdorf,1,0,14199,0,0,Berlin,0,0,Sassnitzer Str. 4/3,0,0,,0,0,15.6.2014 00:00:00,0,,2014 an rechter Hausgrenze zur 3 am Fallrohr Mauereingang 1x Mauersegler,,Sassnitzer Str. 4,"Sassnitzer Str. 4, 14199, Berlin, Deutschland","4, Saßnitzer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4725955, 13.2911442, 0.0)",52.4725955,13.2911442,0.0
160,Wilmersdorf,1,0,14199,1,1,Berlin,0,0,Sassnitzer 1/Ecke Misdroyer,0,0,,0,0,19.6.2006 00:00:00,0,,"2006: 1x Mauersegler Misdroyer 1. Kasten von Ecke aus gesehen, 1x Mauersegler Sassnitzer Str. 1, dritter Kasten von Ecke, sowie 2x Sperlinge, auch je 1x Richtung Midroyer, und e 1x Richtung Sassnitzer",,Sassnitzer 1,"Sassnitzer 1, 14199, Berlin, Deutschland","1, Saßnitzer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","(52.4731276, 13.2912476, 0.0)",52.4731276,13.2912476,0.0
200,Schöneberg,1,0,12159,1,0,Berlin,0,0,"Sarrazinstr. 22/24, Ecke Kundrystr",0,0,,0,0,17.7.2006 00:00:00,0,,"2006: zwei Balkonlinien in Front zur Sarrazinstr., daneben Mauervorsprung, die oben verblendet sind, dort drunter linker Vorsprung 1x Mauersegler, rechts 1x Sperlinge",,Sarrazinstr. 22,"Sarrazinstr. 22, 12159, Berlin, Deutschland","22, Sarrazinstraße, Friedenau, Tempelhof-Schöneberg, Berlin, 12159, Deutschland","(52.4739858, 13.3296036, 0.0)",52.4739858,13.3296036,0.0
490,Schöneberg,1,1,10825,1,0,Berlin,0,0,Salzburger Str. 11,0,0,,0,0,2.7.2009 00:00:00,0,,"2009 3x Sperlinge, links und rechts neben Haustür unter Dachrinne und an linker und rechter Hausgrenze am Fallrohr -in Front zur Salzburger Str. an linker Seite Vorbau, dort rechts in Höhe 3. Etage am Fallrohr 1x Mauersegler und höher 1x Mauersegler am Fallrohreingang Dach
2010: auch",,Salzburger Str. 11,"Salzburger Str. 11, 10825, Berlin, Deutschland","11, Salzburger Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","(52.4880269, 13.3413309, 0.0)",52.4880269,13.3413309,0.0
542,Wilmersdorf,1,0,14193,1,0,Berlin,0,0,Salzbrunner Str. 13,0,0,,0,0,20.6.2010 00:00:00,0,,"2x Sperlinge, am Giebel in Linie Haustür links unten, und 1x an linker Hausgrenze am Dachrinnenbeginn, viele Mauersegleranflüge",,Salzbrunner Str. 13,"Salzbrunner Str. 13, 14193, Berlin, Deutschland","13, Salzbrunner Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14193, Deutschland","(52.4896147, 13.2938088, 0.0)",52.4896147,13.2938088,0.0
541,Wilmersdorf,1,0,14193,1,0,Berlin,0,0,"Salzbrunner Str. 11a,11",0,0,,0,0,20.6.2010 00:00:00,0,,"5 x Sperlinge verteilt am Giebel unter Ziegeln und am Dachrinnenbeginn, Mauersegleranflüge",,Salzbrunner Str. 11a,"Salzbrunner Str. 11a, 14193, Berlin, Deutschland","11a, Salzbrunner Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14193, Deutschland","(52.4897058, 13.2938173, 0.0)",52.4897058,13.2938173,0.0
721,Steglitz,1,1,12157,0,0,Berlin,0,0,Sachsenwaldstr. 6+7,0,0,,0,0,23.6.2011 00:00:00,0,,"2012 Mauersegler: Straßenfront 2.OG oberhalb der Fenster in den Nischen, ehemalige Rolllädenkästen (?) drei Nistplätze, , Trupps von 20 Mauerseglern
2012 alle Nistplätze in den alten, wenn noch vorhandenen Jalousienkästen; zahlreiche Lücken unter dem Dach - Nistplätze sind auch dort wahrscheinlich
1.+3. OG neue Fenster + Verschluß der alten Jalousienkästen (3.OG. Kl.Fenster=alt, d.h. Nistplatz noch erhalten)!
2005:3 Nistplätze Mauersegler / oberhalb der Fenster.Insges. 11 Einflüge. Trupps von bis zu 30 Tieren in der Umgebung",,Sachsenwaldstr. 6+7,"Sachsenwaldstr. 6+7, 12157, Berlin, Deutschland","Sachsenwaldstraße, Steglitz, Berlin, 12157, Deutschland","(52.4628291, 13.3391615, 0.0)",52.4628291,13.3391615,0.0
504,Steglitz,1,1,12157,0,0,Berlin,0,0,Sachsenwaldstr. 6,0,0,,0,0,1.7.2009 00:00:00,0,,"2011 Mauersegler: Straßenfront 2.OG Fensterecke links, ein Einflug an einem Nistplatz,
aus alte Aufzeichung
2009 ehemal 2 Plätze Mauersegler
1.+3. OG neue Fenster + Verschluß der alten Jalousienkästen (3.OG. Kl.Fenster=alt, d.h. Nistplatz noch erhalten)!// alle Nistplätze in den alten, wenn noch vorhandenen Jalousienkästen",unklare Meldungen,Sachsenwaldstr. 6,"Sachsenwaldstr. 6, 12157, Berlin, Deutschland","6, Sachsenwaldstraße, Steglitz, Berlin, 12157, Deutschland","(52.4629708, 13.3398165, 0.0)",52.4629708,13.3398165,0.0
503,Steglitz,1,0,12157,0,0,Berlin,0,0,Sachsenwaldstr. 27,0,0,,0,0,1.7.2005 00:00:00,0,,"2009: 3 Nistplätze Mauersegler / Es wurden 5 Einflüge beobachtet. Trupps von ca. 20 Mauerseglern in der Umgebung ,wurde vorher schon kartiert: Straßenfront und Seitenflügel über 4. OG, 2-3 Nistplätze,
2012 unverändert",,Sachsenwaldstr. 27,"Sachsenwaldstr. 27, 12157, Berlin, Deutschland","27, Sachsenwaldstraße, Steglitz, Berlin, 12157, Deutschland","(52.4627002, 13.3400865, 0.0)",52.4627002,13.3400865,0.0
