ID,Bezirk,Mauersegler,Kontrolle,PLZ,Sperling,Ersatz,Ort,Schwalbe,Wichtig,Strasse,Star,Sanierung,Anhang,Fledermaus,Verloren,Erstbeobachtung,Andere,Melder,Beschreibung,Besonderes
718,Steglitz,1,0,12157,0,0,Berlin,0,0,Kniephofstr. 46,0,0,,0,0,9.6.2011 00:00:00,0,,"2011 Mauersegler 1x: 1 Nest mit Einflug 3. OG links, Hauskante überm Knick zum Fallrohr",
948,Steglitz,0,0,12169,0,0,Berlin,1,0,Kniephofstr. 4,0,0,,0,0,5.6.2011 00:00:00,0,,"2012 kein Einflug gesehen
2011 Mehlschwalbennest 2. Stock rechts (Abflussrohr-Knick),",Kontrolle
501,Steglitz,0,0,12157,0,0,Berlin,1,0,Kniephofstr. 26a,0,0,,0,0,1.7.2009 00:00:00,0,,"1 Nest Mehlschwalbe / Nest an der Fassade und nicht (!) im Balkon,  ungefähr über dem Eingangsbereich im 3.OG.
 2012 unverändert",
658,Steglitz,1,0,12157,0,0,Berlin,0,0,Kniephofstr. 26,0,0,,0,0,1.7.2009 00:00:00,0,,"2011 dito, 2012 dito
2009: Mauersegler links unter Regenrinne, nahe der Ecke des Hauses; zur Nr. 25 hin wahrscheinlich noch mehr (viele Anflüge!) 1Nistplatz, Einflugsichtung 31.5.09 + 13.7.09",
683,Steglitz,1,1,12157,0,0,Berlin,0,1,Kniephofstr. 15,0,0,,0,0,8.7.2010 00:00:00,0,,"2010
es handelt sich um den kompletten Häuserblock der Straßen: Kniephofstr., Schönhauser Str., Lauenburger Str. und Friedrichsruherstr.!
2 Einflüge  Mauersegler unter der Regenrinne auf Höhe des Hauseingangs über dem linken Fenster",
684,Steglitz,1,1,12157,0,0,Berlin,0,1,Kniephofstr. 14/ Schönhauser 16/..,0,0,Skizze,0,0,3.6.2010 00:00:00,0,,"2010 es handelt sich um den kompletten Häuserblock der Straßen: Kniephofstr.14, Schönhauser Str.16, Lauenburger Str.34 und Friedrichsruherstr.46
gesamter Gebäudeblock, Außen- und Hofseite; 
Hinweis über große Zahl an Mauerseglern im  (hat im Mai 2010 Kontakt mit uns aufgenommen),  Zahlreiche Anflüge + 4 Einflüge hofseitig an östlicher und nordöstlicher Gebäudeseite unter den Dachrinnen. Skizzevorhanden .",
499,Steglitz,1,1,12157,0,0,Berlin,0,1,Kniephofstr. 12,0,0,,0,0,1.7.2005 00:00:00,0,,"2005, dann 2009 Neu Innenhof seitliche Toreinfahrt, 4. Etage unterhalb der Dachgeschoßterasse, 1-2 Nistplätze Mauersegler, 12 Einflüge an zwei Nistplätzen, Trupps von 20-30 Mauerseglern, Einflugaktivitäten bis in den späten August hinein
2012 unverändert",
1001,Steglitz,1,0,12167,1,0,Berlin,0,0,Klingsorstr. 7,0,0,,0,0,1.7.2012 00:00:00,0,,siehe Klingsorstr. 1/3,
1614,Steglitz-Zehlendorf,1,0,12167,0,0,Berlin,0,0,Klingsorstr. 34,0,0,,0,0,20.06.2016,0,,"2016, 20. Juni: Turm oben (4 kleine Fenster nebeneinander): 1x Ausflug, 1x Einflug",
1000,Steglitz,1,0,12167,1,0,Berlin,0,0,Klingsorstr. 1/3,0,0,,0,0,1.7.2012 00:00:00,0,,"2013 das ist das Eckhaus zur Albrecht) dort 2x Mauersegler unter der Dachrinne, frontseitig, einmal linke Hausseite zwischen Haustür und Ecke Albrecht, einmal rechts von Haustür. Viele Anflüge, viele Sperlinge in der Gegend, an der Hofseite wahrscheinlich auch eine Mauerseglerstelle, Tiere verschwanden da und tauchten nicht mehr auf (das konnte ich vom Balkon der Albrechtstr. 32 beobachten, aber leider nicht voll einsehen, Sicht war auch vom begrünten Innenhof aus nicht gegeben, da man nicht so nah ran kam).
Eine weitere Stelle ist mit großer Sicherheit am Nebenhaus der Klingsorstr, also das nächste neben der besagten Nr. Habe mir seltsamerweise Nr. 7 aufgeschrieben, müsste auch nach Internet stimmen. Hier gibt es hofseitig zwei Gebäudeteile mit Wintergärten, die heraus ragen, und ich habe in der Mitte Anflüge gesehen, wo die Tiere nicht wieder zum Vorschein kamen. Hier bin ich gar nicht ran gekommen, Hofteil war nicht zugänglich. 
""",
